Study,State,County,Site,Year,Annual Precip_mm/y,days with tile flow,total tile flow_mm/y,tile flow diverted_mm/y,Drainage Area_ha,Distribution pipe length_m,Nitrate load from field_kg N,Nitrate yield from field_kg N/ha,Nitrate Load diverted_kg N,Nitrate yield diverted_kg N/ha,Nitrate load removed_kg N,Nitrate yield removed_kg N/ha,Buffer Removal Percentage,EOF Removal Percentage,Flow Diversion Percentage,NO3-N removal rate_g/m/d,Notes
Jaynes and Isenhart 2018,IA,Hamilton,BC-1,2011,815,143,198,111,10.1,335,220,21.8,123,12.2,123,12.2,1,0.559,0.56,2.568,
Jaynes and Isenhart 2018,IA,Hamilton,BC-1,2012,637,108,140,70,10.1,335,200,19.8,92,9.1,84,8.3,0.913,0.42,0.5,2.322,
Jaynes and Isenhart 2018,IA,Hamilton,BC-1,2013,695,129,429,135,10.1,335,514,50.9,181,17.9,179,17.7,0.989,0.348,0.32,4.142,
Jaynes and Isenhart 2018,IA,Hamilton,BC-1,2014,1027,153,406,157,5.9,335,320,54.2,111,18.8,111,18.8,1,0.347,0.39,2.166,
Jaynes and Isenhart 2018,IA,Hamilton,BC-1,2015,1133,212,468,223,5.9,335,233,39.5,85,14.4,80,13.6,0.941,0.343,0.48,1.126,
Jaynes and Isenhart 2018,IA,Hamilton,BC-1,2016,955,161,204,99,5.9,335,111,18.8,55,9.3,53,9,0.964,0.477,0.48,0.983,
Jaynes and Isenhart 2018,IA,Hamilton,BC-1,2017,899,97,187,66,5.9,335,151,25.6,51,8.6,47,8,0.922,0.311,0.35,1.446,
Johnson et al. XXXX,IA,Hamilton,BC-1,2018,1208.4,194,367,195,5.9,335,219,37.12,117,19.8,108,18.31,0.923,0.493,0.531,1.662,
Johnson et al. XXXX,IA,Hamilton,BC-1,2019,1007.1,240,215,63,5.9,335,260,44.07,78.3,13.3,75.3,12.76,0.962,0.29,0.293,0.937,
Johnson et al. XXXX,IA,Hamilton,BC-1,2020,788.6,138,140,41,5.9,335,94.5,16.02,26.5,4.5,26.2,4.44,0.989,0.277,0.293,0.567,
Johnson et al. XXXX,IA,Hamilton,BC-1,2021,707.3,45,28.5,21.6,5.9,335,18,3.05,13.8,2.3,12.8,2.17,0.928,0.711,0.758,0.849,
Jaynes and Isenhart 2018,IA,Hamilton,BC-2,2016,955,333,537,127,40.5,168,1758,43.4,444,11,120,3,0.27,0.068,0.23,2.145,
Jaynes and Isenhart 2018,IA,Hamilton,BC-2,2017,899,226,392,69,40.5,168,1334,32.9,234,5.8,115,2.8,0.491,0.086,0.19,3.029,
