Case Number,Scientist,Matrix,Project Name,Submission Date,Comments,Units,Sample Number,Site ID,Bottle No,NO3-N
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-001,SH210101,1,3.3
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-002,SH210102,2,0.4
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-003,SH210103,3,< 0.3
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-004,SH210104,4,6.1
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-005,SH210105,5,5.8
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-006,SH210106,6,1.9
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-007,SH2101BX,7,11.2
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-008,SH2101CK,8,13.6
22x0132,Natalia Rogovska,Water,Shearer,4/12/2022,,mg/L,22x0132-009,BLANK,9,< 0.3
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-001,SH211601,1,2.2
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-002,SH211602,2,0.6
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-003,SH211603,3,< 0.3
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-004,SH211604,4,5.9
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-005,SH211605,5,6.6
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-006,SH211606,6,4
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-007,SH2116BX,7,18.9
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-008,SH2116CK,8,13.8
22x0167,Natalia Rogovska,Water,Shearer,4/28/2022,,mg/L,22x0167-009,BLANK,9,< 0.3
22x0211,Natalia Rogovska,Water,Shearer,5/13/2022,,mg/L,22x0211-001,SH212901,1,0.8
22x0211,Natalia Rogovska,Water,Shearer,5/13/2022,,mg/L,22x0211-002,SH212902,2,< 0.3
22x0211,Natalia Rogovska,Water,Shearer,5/13/2022,,mg/L,22x0211-003,SH212903,3,< 0.3
22x0211,Natalia Rogovska,Water,Shearer,5/13/2022,,mg/L,22x0211-004,SH212904,4,5.4
22x0211,Natalia Rogovska,Water,Shearer,5/13/2022,,mg/L,22x0211-005,SH212905,5,3.2
