Sample Date,Site ID,Site Code,Sample Location,NO3-N-clean
2022-04-11,SH210101,SH,01,3.3
2022-04-11,SH210102,SH,02,0.4
2022-04-11,SH210103,SH,03,0.0
2022-04-11,SH210104,SH,04,6.1
2022-04-11,SH210105,SH,05,5.8
2022-04-11,SH210106,SH,06,1.9
2022-04-11,SH2101BX,SH,BX,11.2
2022-04-11,SH2101CK,SH,CK,13.6
2021-12-31,000000BL,00,BL,0.0
2022-04-26,SH211601,SH,01,2.2
2022-04-26,SH211602,SH,02,0.6
2022-04-26,SH211603,SH,03,0.0
2022-04-26,SH211604,SH,04,5.9
2022-04-26,SH211605,SH,05,6.6
2022-04-26,SH211606,SH,06,4.0
2022-04-26,SH2116BX,SH,BX,18.9
2022-04-26,SH2116CK,SH,CK,13.8
2021-12-31,000000BL,00,BL,0.0
2022-05-09,SH212901,SH,01,0.8
2022-05-09,SH212902,SH,02,0.0
2022-05-09,SH212903,SH,03,0.0
2022-05-09,SH212904,SH,04,5.4
2022-05-09,SH212905,SH,05,3.2
2022-05-09,SH212906,SH,06,3.6
2022-05-09,SH2129BX,SH,BX,23.5
2022-05-09,SH2129CK,SH,CK,15.6
2021-12-31,000000BL,00,BL,0.0
2022-05-17,SH213701,SH,01,1.1
2022-05-17,SH213702,SH,02,0.0
2022-05-17,SH213703,SH,03,0.0
2022-05-17,SH213704,SH,04,7.1
2022-05-17,SH213705,SH,05,4.9
2022-05-17,SH213706,SH,06,3.1
2022-05-17,SH2137BX,SH,BX,22.2
2022-05-17,SH2137CK,SH,CK,19.0
2021-12-31,000000BL,00,BL,0.0
2022-05-17,SH213701,SH,01,2.0
2022-05-17,SH213702,SH,02,0.02
2022-05-17,SH213703,SH,03,0.0
2022-05-17,SH213704,SH,04,7.17
2022-05-17,SH213705,SH,05,4.07
2022-05-17,SH213706,SH,06,2.85
2022-05-17,SH2137BX,SH,BX,20.58
2022-05-17,SH2137CK,SH,CK,16.94
2022-05-31,SH215101,SH,01,3.86
2022-05-31,SH215102,SH,02,0.0
2022-05-31,SH215103,SH,03,0.1
2022-05-31,SH215104,SH,04,12.8
2022-05-31,SH215105,SH,05,11.04
2022-05-31,SH215106,SH,06,4.89
2022-05-31,SH2151BX,SH,BX,26.03
2022-05-31,SH2151CK,SH,CK,20.22
2022-06-14,SH216501,SH,01,7.91
2022-06-14,SH216502,SH,02,0.0
2022-06-14,SH216503,SH,03,0.0
2022-06-14,SH216504,SH,04,0.0
2022-06-14,SH216505,SH,05,14.53
2022-06-14,SH216506,SH,06,4.64
2022-06-14,SH2165BX,SH,BX,28.85
2022-06-14,SH2165CK,SH,CK,23.19
2022-06-21,SH217201,SH,01,8.75
2022-06-21,SH217202,SH,02,0.0
2022-06-21,SH217203,SH,03,0.0
2022-06-21,SH217204,SH,04,13.42
2022-06-21,SH217205,SH,05,9.98
2022-06-21,SH217206,SH,06,7.59
2022-06-21,SH2172BX,SH,BX,27.85
2022-06-21,SH2172CK,SH,CK,22.31
2022-06-28,SH217901,SH,01,13.09
2022-06-28,SH217902,SH,02,1.21
2022-06-28,SH217903,SH,03,0.5
2022-06-28,SH217904,SH,04,21.24
2022-06-28,SH217905,SH,05,16.85
2022-06-28,SH217906,SH,06,9.11
2022-06-28,SH2179BX,SH,BX,28.02
2022-06-28,SH2179CK,SH,CK,22.57
2022-07-06,SH218701,SH,01,11.8135
2022-07-06,SH218702,SH,02,1.349
2022-07-06,SH218703,SH,03,1.48785
2022-07-06,SH218704,SH,04,20.3515
2022-07-06,SH218705,SH,05,18.092
2022-07-06,SH218706,SH,06,10.2485
2022-07-06,SH2187BX,SH,BX,26.457
2022-07-06,SH2187CK,SH,CK,19.867
2022-07-14,SH219501,SH,01,13.5515
2022-07-14,SH219502,SH,02,2.05625
2022-07-14,SH219503,SH,03,1.4829
2022-07-14,SH219504,SH,04,20.954
2022-07-14,SH219505,SH,05,15.802
2022-07-14,SH219506,SH,06,18.0595
2022-07-14,SH2195BX,SH,BX,24.267
2022-07-14,SH2195CK,SH,CK,18.4815
2022-07-29,SH221001,SH,01,12.4925
2022-07-29,SH221002,SH,02,4.8561
2022-07-29,SH221003,SH,03,4.5391
2022-07-29,SH221004,SH,04,17.4925
2022-07-29,SH221005,SH,05,14.751
2022-07-29,SH221006,SH,06,10.7205
2022-07-29,SH2210BX,SH,BX,21.0945
2022-07-29,SH2210CK,SH,CK,12.822
2022-08-05,SH221701,SH,01,19.6095
2022-08-05,SH221702,SH,02,9.11365
2022-08-05,SH221703,SH,03,5.74205
2022-08-05,SH221704,SH,04,15.239
2022-08-05,SH221705,SH,05,16.049
2022-08-05,SH221706,SH,06,9.5212
2022-08-05,SH2217BX,SH,BX,19.478
2022-08-05,SH2217CK,SH,CK,8.5377
